Common Butterfly,160,All except Jul & Aug,4AM-7PM,Flying around,0,
Yellow Butterfly,160,"March, April, May, June, September, October",4AM-7PM,Flying around,0,
Tiger Butterfly,240,"March, April, May, June, July, August, September",4AM-7PM,Flying around,0,
Peacock Butterfly,2500,"March, April, May, June",4AM-7PM,"Flying around ""rare flowers""",20,
Common Bluebottle,300,"April, May, June, July, Aug",4AM-7PM,Flying around,0,
Paper Kite Butterfly,1000,All,8AM-7PM,Flying around,0,
Great Purple Emperor,3000,"May, June, July, Aug",4AM-7PM,Flying around,50,
Monarch Butterfly,140,"September, October, November",N/A,Flying around,0,
Emperor Butterfly,4000,"January, February, March, June, July, August, September, December",5PM-8AM,Flying around,20,
Agrias Butterfly,3000,"April, May, June, July, August, September",8AM-5PM,Flying around,20,
Rajah Brooke's Birdwing,2500,"All except March, October, November",8AM-5PM,Flying around,20,
Queen Alexandra's Birdwing,4000,"May, June, July, August, September",8AM-4PM,Flying around,50,
Moth,130,All,7PM-4AM,Buzzing around lamps and lights outside (there's usually one next to Residential Services),0,
Atlas Moth,3000,"April, May, June, July, August, September",7PM-4AM,On the side of trees,20,
Madagascan Sunset Moth,2500,"April, May, June, July, August, September",8AM-4PM,Flying around,20,
Long Locust,200,"April, May, June, July, August, September, October, November",8AM-7PM,Hopping on the floor,0,
Migratory Locust,600,"August, September, October, November",8AM-7PM,Hopping on the floor,20,
Rice Grasshopper,160,"August, September, October, November",8AM-7PM,Hopping on the floor,0,
Grasshopper,160,"July, August, September",8AM-5PM,Hopping on the floor,0,
Cricket,130,"September, October, November",5PM-8AM,Hopping on the floor,0,
Bell Cricket,430,"September, October",5PM-8AM,Hopping on the floor,0,
Mantis,430,"All except January, February, December",8AM-5PM,Praying on flowers,0,
Orchid Mantis,2400,"All except January, February, December",8AM-5PM,Praying on white flowers,20,
Honeybee,200,"March, April, May, June, July",8AM-5PM,Flying around,0,
Wasp,2500,All,All,Catch in net when they attack you after shaking or chopping a tree,0,
Brown Cicada,250,"July, August",8AM-5PM,On the side of trees,0,
